"md5_email"|"YEAR"|"WEEK"|"V01"|"V02"|"V03"|"V04"|"V05"|"V06"|"V07"|"V08"|"V09"|"V10"|"V11"|"V12"|"V13"|"V14"|"V15"|"V16"|"V17"|"V18"|"V19"|"V20"|"V21"|"V22"|"V23"|"V24"|"V25"|"V26"|"V27"|"V28"|"V29"|"V30"|"V31"|"V32"|"V33"|"V34"|"V35"|"V36"|"V37"|"V38"|"V39"|"V40"|"V41"|"V42"|"V43"|"V44"|"V45"|"V46"|"V47"|"V48"|"V49"|"V50"|"V51"|"V52"|"V53"|"V54"|"V55"|"V56"|"V57"|"V58"|"V59"|"V60"
"435"|"44c1b15ab3fe1f126c72aca3e7f928ea"|2010|35|3.4|3.4|3.4|5|5|5|3.4|4.2|5|5|3.4|3.4|4.2|4.2|4.2|5|5|4.2|4.2|1|3.4|4.2|5|4.2|2.6|5|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|4.2|5|4.2|5|4.2|5|5|4.2|4.2|4.2|3.4|5|5|4.2|4.2|3.4|4.2|3.4|5|4.2|3.4|4.2|4.2|4.2|5|5
"436"|"4ee5096244e139d1d87eeaa0bef29d71"|2010|35|2.6|2.6|3.4|4.2|4.2|2.6|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|4.2|3.4|2.6|3.4|3.4|3.4|3.4|2.6|4.2|3.4|2.6|3.4|4.2|4.2|3.4|4.2|2.6|4.2|3.4|3.4|4.2|3.4|3.4|2.6|4.2|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|4.2|3.4|4.2|3.4|3.4
"437"|"4ee5096244e139d1d87eeaa0bef29d71"|2010|35|2.6|5|1|4.2|5|5|1.8|4.2|5|5|2.6|5|3.4|5|4.2|5|5|5|4.2|1|5|5|5|2.6|2.6|5|4.2|2.6|1|3.4|4.2|4.2|4.2|4.2|4.2|4.2|2.6|4.2|4.2|4.2|5|4.2|4.2|5|4.2|5|4.2|4.2|4.2|4.2|5|4.2|4.2|5|1.8|4.2|4.2|4.2|4.2|4.2
"438"|"0166e2f5b6f13a6318317317a0832252"|2010|35|5|5|1|5|5|5|5|5|5|5|5|4.2|5|5|5|5|5|5|5|1|5|5|5|4.2|1|5|5|1|1|5|5|5|5|5|5|5|4.2|5|5|5|5|4.2|5|5|5|5|5|1|5|5|4.2|5|5|5|5|5|5|5|5|5
"429"|"62e9eea13eef34df91cc3906bd729c2f"|2010|34|3.4|4.2|1.8|5|5|4.2|4.2|4.2|5|5|2.6|4.2|4.2|5|3.4|5|5|5|4.2|1.8|3.4|5|5|5|1.8|5|3.4|4.2|4.2|5|5|5|3.4|4.2|4.2|4.2|3.4|5|5|5|5|4.2|5|5|5|5|5|3.4|4.2|2.6|4.2|5|5|5|4.2|4.2|4.2|5|5|5
"430"|"b0a08bdbfb3764f1faefcdcda1db29d3"|2010|34|1.8|2.6|2.6|5|4.2|2.6|2.6|1.8|4.2|3.4|1|1.8|4.2|4.2|3.4|4.2|3.4|3.4|3.4|1|3.4|4.2|3.4|5|3.4|4.2|2.6|4.2|2.6|2.6|4.2|3.4|4.2|2.6|4.2|4.2|2.6|4.2|4.2|2.6|5|4.2|2.6|3.4|3.4|3.4|2.6|3.4|4.2|2.6|4.2|3.4|3.4|2.6|3.4|4.2|2.6|3.4|4.2|3.4
"431"|"b0a08bdbfb3764f1faefcdcda1db29d3"|2010|34|2.6|1.8|3.4|5|4.2|3.4|4.2|3.4|3.4|2.6|2.6|3.4|3.4|2.6|4.2|3.4|4.2|3.4|4.2|3.4|4.2|4.2|3.4|4.2|5|3.4|3.4|2.6|3.4|2.6|4.2|4.2|3.4|4.2|3.4|4.2|3.4|4.2|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|2.6|3.4|4.2|3.4|3.4|4.2|4.2|4.2|3.4|2.6|4.2|4.2|4.2|3.4
"432"|"c37576b8c746843d011c9899490299fa"|2010|34|1.8|4.2|1|5|5|4.2|3.4|4.2|5|4.2|1|1.8|3.4|4.2|4.2|5|5|5|2.6|1|1|5|4.2|4.2|1|4.2|4.2|5|1|5|5|4.2|5|5|5|5|4.2|5|3.4|3.4|3.4|5|4.2|4.2|4.2|4.2|3.4|5|4.2|2.6|4.2|4.2|5|4.2|3.4|4.2|5|5|4.2|5
"428"|"e243c5fdf07292b5098a47e12a3a281b"|2010|33|2.6|2.6|1.8|3.4|5|4.2|4.2|4.2|4.2|2.6|2.6|3.4|4.2|1.8|3.4|4.2|4.2|3.4|2.6|1.8|3.4|5|5|3.4|1.8|4.2|3.4|4.2|4.2|4.2|5|1.8|3.4|5|4.2|4.2|5|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|3.4|3.4|5|3.4|4.2|5|3.4|3.4|2.6|3.4|3.4|4.2|4.2|2.6
"415"|"95ccd320a02a3f351c654745d11ba6eb"|2010|32|3.4|2.6|1.8|3.4|5|3.4|4.2|2.6|3.4|2.6|2.6|1.8|3.4|1.8|4.2|3.4|3.4|3.4|3.4|3.4|1.8|3.4|4.2|3.4|4.2|3.4|3.4|1.8|2.6|3.4|3.4|3.4|4.2|3.4|5|3.4|1.8|2.6|4.2|3.4|2.6|1.8|3.4|3.4|4.2|3.4|4.2|4.2|3.4|2.6|2.6|3.4|4.2|3.4|5|3.4|3.4|2.6|2.6|4.2
"416"|"b9ce464635bfd6d7680ebbfe97e80d98"|2010|32|1.8|5|1|3.4|3.4|5|5|3.4|4.2|5|4.2|1.8|5|5|2.6|4.2|4.2|5|2.6|3.4|3.4|4.2|5|4.2|3.4|3.4|3.4|3.4|3.4|2.6|5|3.4|4.2|2.6|3.4|3.4|4.2|4.2|3.4|3.4|5|4.2|5|2.6|4.2|5|4.2|1.8|4.2|4.2|2.6|4.2|5|5|2.6|4.2|2.6|4.2|5|3.4
"417"|"34c06a7329b94f410b72cea40d1ae007"|2010|32|3.4|2.6|3.4|4.2|3.4|2.6|3.4|3.4|4.2|3.4|2.6|3.4|3.4|3.4|4.2|3.4|4.2|3.4|3.4|1.8|3.4|3.4|3.4|4.2|3.4|3.4|3.4|4.2|2.6|3.4|3.4|2.6|4.2|3.4|3.4|4.2|3.4|4.2|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|4.2|3.4|4.2|3.4|3.4|3.4|3.4|4.2|3.4
"418"|"f3be145731488f7a71d895cc7f3e13b3"|2010|32|4.2|4.2|1|5|4.2|3.4|2.6|2.6|4.2|4.2|2.6|3.4|3.4|4.2|5|4.2|4.2|5|5|2.6|1.8|5|4.2|4.2|2.6|5|5|5|2.6|3.4|3.4|5|4.2|4.2|4.2|3.4|3.4|5|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|5|5|4.2|5|3.4|5|3.4|4.2|3.4|5|5|4.2
"419"|"5ffd8c5fbe573793c77cd1abb808a938"|2010|32|5|3.4|3.4|5|4.2|3.4|4.2|2.6|5|4.2|4.2|3.4|5|5|4.2|4.2|5|4.2|1.8|1|4.2|5|4.2|5|3.4|5|3.4|5|3.4|3.4|5|4.2|3.4|4.2|5|4.2|4.2|5|4.2|4.2|4.2|4.2|5|4.2|4.2|5|4.2|5|5|4.2|5|4.2|5|5|4.2|4.2|4.2|5|5|4.2
"420"|"cf70eb31d3cfc48fae48b58d575316a3"|2010|32|4.2|1.8|2.6|4.2|4.2|1|4.2|1|2.6|4.2|5|4.2|5|2.6|4.2|1.8|3.4|2.6|3.4|3.4|4.2|5|2.6|2.6|1|5|2.6|2.6|3.4|1.8|5|4.2|3.4|5|4.2|5|5|5|3.4|4.2|5|5|4.2|5|4.2|2.6|1.8|1|5|1|3.4|4.2|1.8|4.2|4.2|3.4|1.8|4.2|5|1.8
"421"|"44fda9e9589922f4e29c4c0420c13bc8"|2010|32|2.6|2.6|2.6|5|4.2|5|3.4|4.2|5|4.2|3.4|3.4|3.4|3.4|4.2|4.2|5|5|2.6|1|2.6|4.2|4.2|3.4|1|4.2|2.6|4.2|1.8|4.2|2.6|1.8|4.2|3.4|4.2|5|4.2|5|5|5|3.4|2.6|2.6|2.6|1.8|1.8|5|3.4|4.2|1.8|2.6|4.2|1.8|3.4|3.4|4.2|3.4|4.2|4.2|1
"422"|"7e4ba04b66b8a88865f51b826d8eb09f"|2010|32|4.2|1.8|1|5|4.2|4.2|4.2|4.2|5|4.2|1.8|4.2|4.2|4.2|5|4.2|5|5|4.2|1|4.2|4.2|5|4.2|1|4.2|4.2|3.4|3.4|4.2|5|2.6|5|5|2.6|5|1.8|5|5|5|2.6|5|1.8|5|5|5|4.2|1.8|4.2|1|5|5|4.2|5|3.4|5|5|5|5|3.4
"423"|"0b685eda6d28fa9877a5b251b2abd7fd"|2010|32|3.4|4.2|1.8|4.2|5|4.2|3.4|3.4|5|4.2|3.4|3.4|4.2|5|4.2|5|5|4.2|2.6|1|4.2|5|4.2|2.6|4.2|4.2|4.2|4.2|1.8|3.4|5|4.2|3.4|5|3.4|4.2|2.6|4.2|3.4|4.2|5|4.2|4.2|5|4.2|5|3.4|1.8|4.2|3.4|4.2|3.4|3.4|4.2|1.8|5|4.2|5|4.2|5
"424"|"be87d1327c4e4035adacff699ebe0fa6"|2010|32|3.4|5|1|5|5|5|5|5|5|4.2|1.8|4.2|2.6|5|4.2|5|5|5|3.4|1.8|1|4.2|5|4.2|4.2|5|4.2|5|1.8|4.2|4.2|5|5|3.4|2.6|5|1.8|5|5|3.4|3.4|5|5|5|5|5|5|1.8|5|5|3.4|5|5|5|3.4|5|5|5|1.8|5
"425"|"fe2abfa966e0ac64471d83c707c9f09e"|2010|32|3.4|2.6|1.8|5|5|5|3.4|4.2|5|1.8|3.4|1.8|4.2|4.2|5|5|5|5|4.2|1|1.8|5|5|2.6|1|4.2|4.2|4.2|2.6|4.2|4.2|1|3.4|3.4|1.8|4.2|1.8|5|4.2|4.2|1|4.2|4.2|1|4.2|4.2|3.4|1|4.2|1|1.8|5|5|4.2|2.6|5|1.8|5|2.6|2.6
"426"|"54e61c1e8e1d64152ae9b923f32be2d7"|2010|32|3.4|3.4|1|4.2|4.2|3.4|4.2|3.4|4.2|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|3.4|3.4|1|4.2|4.2|4.2|3.4|5|4.2|4.2|3.4|3.4|3.4|5|5|4.2|5|3.4|4.2|5|5|4.2|4.2|5|4.2|4.2|5|4.2|4.2|3.4|4.2|5|4.2|5|4.2|4.2|5|4.2|4.2|4.2|4.2|5|3.4
"427"|"90aab77d0c4eafc56b5a83d7b5dc15bf"|2010|32|5|5|4.2|5|5|5|5|3.4|5|4.2|2.6|3.4|5|4.2|4.2|5|5|5|5|2.6|3.4|4.2|5|5|4.2|5|2.6|5|2.6|5|5|5|5|5|4.2|5|3.4|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5
"405"|"12735a8617e5da9647d2f14953a1a427"|2010|31|3.4|3.4|1.8|5|3.4|3.4|3.4|2.6|3.4|4.2|4.2|3.4|4.2|3.4|3.4|3.4|2.6|4.2|3.4|4.2|4.2|4.2|3.4|3.4|2.6|4.2|3.4|3.4|3.4|3.4|5|3.4|3.4|4.2|4.2|3.4|4.2|5|4.2|3.4|5|4.2|3.4|3.4|4.2|3.4|3.4|3.4|5|4.2|3.4|4.2|3.4|4.2|1.8|3.4|3.4|3.4|4.2|2.6
"406"|"863cd931dbdb00d0811752b94543ae47"|2010|31|1.8|4.2|1.8|5|3.4|5|4.2|3.4|5|5|3.4|4.2|5|4.2|4.2|5|4.2|4.2|4.2|2.6|2.6|4.2|4.2|5|1.8|5|3.4|4.2|4.2|5|4.2|4.2|5|4.2|4.2|3.4|5|4.2|3.4|3.4|3.4|5|4.2|1.8|4.2|3.4|4.2|4.2|3.4|2.6|2.6|3.4|4.2|3.4|2.6|4.2|4.2|2.6|5|4.2
"407"|"02d4f348c9ff72739686fa81e3e13ee1"|2010|31|2.6|1|1|3.4|2.6|1|2.6|1.8|2.6|2.6|1.8|1.8|2.6|2.6|2.6|2.6|2.6|2.6|2.6|1|2.6|1|1.8|1.8|1|3.4|2.6|2.6|1|2.6|3.4|2.6|2.6|2.6|3.4|2.6|2.6|2.6|2.6|2.6|3.4|2.6|1.8|2.6|2.6|2.6|2.6|1.8|2.6|3.4|2.6|3.4|2.6|2.6|2.6|2.6|2.6|2.6|2.6|1.8
"408"|"43813ec2e223c58b510fbc6617bf2b66"|2010|31|3.4|5|1|5|5|5|3.4|2.6|5|5|4.2|3.4|4.2|5|5|4.2|5|5|4.2|1|5|5|5|5|2.6|5|3.4|5|4.2|3.4|5|2.6|4.2|4.2|4.2|5|4.2|5|5|5|4.2|4.2|4.2|3.4|4.2|5|4.2|3.4|4.2|1|3.4|5|5|5|3.4|5|4.2|4.2|5|5
"409"|"9faff925ba43c4837cd4ef6dd460165b"|2010|31|4.2|3.4|1|4.2|4.2|3.4|4.2|3.4|4.2|3.4|3.4|5|3.4|4.2|5|4.2|3.4|3.4|3.4|3.4|5|3.4|3.4|4.2|1.8|3.4|4.2|3.4|5|3.4|5|1.8|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|5|4.2|4.2|4.2|3.4|3.4|3.4|2.6|4.2|4.2|4.2|3.4|4.2|4.2|4.2|3.4|4.2|3.4|5|4.2
"410"|"3b87bffacdd35679a992eadf816120a2"|2010|31|3.4|4.2|3.4|4.2|4.2|2.6|4.2|2.6|5|3.4|3.4|3.4|4.2|4.2|3.4|4.2|2.6|4.2|4.2|2.6|4.2|4.2|3.4|3.4|2.6|5|3.4|4.2|3.4|4.2|5|4.2|3.4|5|4.2|4.2|4.2|5|3.4|4.2|5|4.2|5|5|4.2|2.6|3.4|2.6|4.2|5|4.2|4.2|4.2|5|2.6|4.2|3.4|3.4|5|2.6
"411"|"3b87bffacdd35679a992eadf816120a2"|2010|31|1.8|2.6|3.4|1.8|2.6|3.4|2.6|3.4|2.6|2.6|2.6|1.8|3.4|2.6|3.4|2.6|1.8|2.6|3.4|3.4|3.4|2.6|1.8|2.6|3.4|2.6|2.6|2.6|3.4|1.8|2.6|2.6|2.6|3.4|2.6|2.6|3.4|3.4|2.6|3.4|3.4|2.6|2.6|2.6|3.4|3.4|2.6|3.4|3.4|3.4|2.6|2.6|3.4|3.4|3.4|3.4|3.4|2.6|3.4|2.6
"412"|"3b864126976dd95054f4af859f06d380"|2010|31|3.4|3.4|3.4|3.4|2.6|3.4|1.8|3.4|3.4|2.6|4.2|3.4|3.4|2.6|3.4|2.6|2.6|2.6|2.6|1.8|3.4|3.4|3.4|4.2|1.8|3.4|1.8|4.2|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|2.6|3.4|3.4|2.6|2.6|3.4|2.6|2.6|2.6|2.6|4.2|2.6|2.6|3.4|4.2|4.2|2.6|3.4|3.4|4.2|3.4|3.4
"413"|"46e9e92ab1ef736c2fdd0704b23d6ce8"|2010|31|3.4|4.2|2.6|5|5|3.4|3.4|4.2|3.4|2.6|3.4|2.6|4.2|3.4|5|4.2|3.4|2.6|4.2|2.6|3.4|5|3.4|4.2|4.2|5|4.2|3.4|3.4|4.2|4.2|4.2|4.2|3.4|5|5|3.4|5|4.2|3.4|3.4|5|3.4|4.2|4.2|4.2|3.4|3.4|4.2|3.4|3.4|4.2|4.2|3.4|3.4|3.4|4.2|5|3.4|3.4
"414"|"0d79d24a057275524989b48e59b2acf0"|2010|31|5|3.4|1|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|5|3.4|5|5|5|5|2.6|5|5|4.2|5|5|5|5|4.2|5|5|5|5|5|5|5|5|5|5|5|5|5|4.2|4.2|5|5|5|5|5|5|5|5|5|5|5|5
"404"|"4c6c90b9478322bac1327d2ffc7552c4"|2010|28|4.2|4.2|1|5|4.2|3.4|4.2|5|5|5|2.6|5|4.2|5|5|4.2|5|4.2|4.2|1|4.2|5|4.2|4.2|1|5|5|3.4|1|4.2|3.4|3.4|4.2|4.2|3.4|5|3.4|5|4.2|5|4.2|5|4.2|5|4.2|5|4.2|5|5|4.2|5|5|5|5|5|4.2|5|5|5|5
"403"|"53f569393a36a4b6e1ecb9da86fd05ce"|2010|27|2.6|3.4|2.6|4.2|4.2|4.2|4.2|2.6|3.4|2.6|2.6|1.8|1.8|1.8|3.4|2.6|4.2|4.2|1.8|1.8|3.4|3.4|4.2|3.4|1|2.6|2.6|4.2|3.4|2.6|4.2|2.6|4.2|4.2|4.2|3.4|4.2|3.4|2.6|4.2|4.2|4.2|4.2|2.6|3.4|4.2|4.2|3.4|3.4|3.4|1.8|4.2|5|3.4|1.8|4.2|2.6|2.6|3.4|4.2
"400"|"5c94b3d02e8d35910f108d59abedbc58"|2010|26|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
"401"|"5c94b3d02e8d35910f108d59abedbc58"|2010|26|4.2|4.2|1.8|4.2|4.2|3.4|3.4|3.4|4.2|4.2|3.4|3.4|3.4|4.2|3.4|4.2|4.2|4.2|2.6|1.8|3.4|4.2|3.4|3.4|4.2|4.2|3.4|4.2|2.6|2.6|3.4|4.2|4.2|4.2|4.2|4.2|2.6|5|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|2.6|3.4|5|5|4.2|4.2|5|5|4.2|4.2
"402"|"e45e48b140d9772567ae57ec2408524b"|2010|26|4.2|2.6|1.8|5|4.2|4.2|4.2|4.2|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|2.6|3.4|5|4.2|4.2|4.2|4.2|2.6|3.4|2.6|3.4|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|3.4|4.2|4.2|3.4|4.2|4.2|4.2|4.2|4.2|4.2|3.4|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2
"397"|"bac0e7181b90ad3cb061c0e28cfc7809"|2010|25|2.6|1.8|2.6|5|2.6|1.8|4.2|1.8|4.2|3.4|4.2|1|2.6|1.8|3.4|4.2|2.6|3.4|3.4|1.8|1.8|2.6|2.6|5|1|4.2|1.8|3.4|1.8|2.6|2.6|3.4|3.4|4.2|4.2|3.4|1.8|4.2|5|4.2|2.6|2.6|3.4|4.2|3.4|3.4|3.4|4.2|4.2|1.8|1.8|3.4|4.2|4.2|2.6|4.2|2.6|3.4|2.6|3.4
"398"|"ce8a740462d3ffe93125730c96aad056"|2010|25|4.2|3.4|1.8|2.6|3.4|2.6|3.4|2.6|3.4|3.4|2.6|3.4|3.4|3.4|2.6|3.4|2.6|2.6|2.6|2.6|2.6|2.6|3.4|3.4|1|3.4|2.6|2.6|3.4|3.4|2.6|2.6|2.6|3.4|1.8|4.2|1.8|4.2|3.4|2.6|4.2|3.4|1.8|3.4|4.2|1.8|2.6|1.8|3.4|3.4|3.4|1.8|4.2|4.2|4.2|3.4|2.6|3.4|4.2|1.8
"399"|"a83fca7c8d57e9b734524770e33d1ef8"|2010|25|3.4|4.2|1.8|5|5|5|2.6|4.2|4.2|3.4|3.4|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|1.8|3.4|5|5|3.4|2.6|4.2|4.2|4.2|3.4|3.4|5|3.4|5|5|3.4|4.2|2.6|4.2|4.2|4.2|3.4|4.2|3.4|3.4|4.2|3.4|4.2|3.4|4.2|3.4|2.6|4.2|5|4.2|2.6|2.6|4.2|4.2|2.6|4.2
"396"|"68f3131e6a648e72eafadcc1a7816cb4"|2010|23|4.2|4.2|1.8|3.4|4.2|4.2|3.4|2.6|4.2|3.4|3.4|3.4|3.4|4.2|2.6|4.2|4.2|3.4|2.6|2.6|3.4|3.4|4.2|3.4|2.6|4.2|4.2|3.4|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|3.4|3.4|4.2|3.4|3.4|2.6|3.4|3.4|3.4|4.2|2.6|2.6|3.4|3.4|2.6|4.2|4.2|3.4|3.4|3.4|3.4|3.4|3.4|2.6
"392"|"2f35d0972fad89ac25476ed91d98ee29"|2010|22|3.4|3.4|3.4|3.4|2.6|3.4|3.4|2.6|4.2|4.2|2.6|3.4|2.6|3.4|3.4|4.2|4.2|4.2|3.4|1.8|2.6|3.4|4.2|2.6|2.6|4.2|2.6|4.2|2.6|3.4|3.4|3.4|3.4|2.6|3.4|3.4|2.6|2.6|3.4|3.4|3.4|3.4|3.4|3.4|4.2|4.2|4.2|3.4|2.6|3.4|3.4|3.4|4.2|3.4|3.4|4.2|2.6|4.2|3.4|4.2
"393"|"41e47c21dde50247a438128255e7ce51"|2010|22|4.2|5|1.8|4.2|4.2|5|5|4.2|5|5|5|4.2|5|5|5|5|5|5|4.2|3.4|5|3.4|5|3.4|3.4|4.2|5|3.4|4.2|5|5|5|4.2|5|2.6|5|5|5|4.2|5|5|4.2|5|5|5|5|4.2|4.2|4.2|5|4.2|5|5|5|4.2|5|5|5|5|4.2
"394"|"8f2a765187594755f64c8d11bf34a3cc"|2010|22|3.4|4.2|2.6|3.4|3.4|4.2|3.4|3.4|4.2|3.4|2.6|2.6|3.4|3.4|4.2|4.2|4.2|4.2|2.6|3.4|3.4|3.4|4.2|4.2|3.4|3.4|1.8|2.6|3.4|3.4|4.2|2.6|4.2|3.4|3.4|3.4|2.6|3.4|3.4|3.4|3.4|3.4|4.2|3.4|4.2|4.2|4.2|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|4.2|3.4|4.2|3.4|4.2
"395"|"0fb0405185909fe5573273a77f1c25da"|2010|22|3.4|3.4|1.8|4.2|4.2|3.4|4.2|2.6|3.4|1.8|2.6|3.4|4.2|2.6|3.4|4.2|4.2|3.4|3.4|1.8|4.2|4.2|4.2|5|3.4|4.2|4.2|2.6|2.6|4.2|4.2|4.2|1.8|4.2|4.2|4.2|2.6|4.2|5|3.4|2.6|3.4|3.4|4.2|3.4|4.2|5|1.8|2.6|4.2|4.2|3.4|4.2|3.4|1.8|2.6|3.4|2.6|4.2|4.2
"389"|"ccdc141f58ef9a3378a2b418593670c8"|2010|21|1.8|4.2|1.8|4.2|4.2|5|1.8|3.4|4.2|4.2|2.6|2.6|4.2|4.2|4.2|3.4|5|5|3.4|1.8|3.4|4.2|4.2|3.4|1.8|2.6|4.2|2.6|1|3.4|3.4|3.4|2.6|4.2|3.4|4.2|2.6|4.2|4.2|3.4|3.4|3.4|3.4|3.4|4.2|3.4|4.2|3.4|3.4|3.4|2.6|3.4|4.2|4.2|3.4|3.4|3.4|4.2|3.4|3.4
"390"|"6177e4ae08a0c239847b721beace64cc"|2010|21|5|4.2|2.6|5|5|5|5|3.4|5|4.2|1.8|5|4.2|5|5|5|5|5|3.4|1|1|4.2|5|4.2|1|5|1.8|5|1.8|4.2|5|5|5|5|4.2|4.2|5|5|5|5|4.2|5|5|5|4.2|5|2.6|4.2|5|4.2|3.4|5|5|5|5|2.6|5|5|4.2|4.2
"391"|"f11bd3d803e7d1be08ee89413e678ce3"|2010|21|4.2|5|1|4.2|5|3.4|4.2|4.2|5|5|2.6|4.2|4.2|5|4.2|4.2|5|4.2|3.4|1|3.4|5|5|5|1|4.2|3.4|3.4|2.6|5|5|1.8|5|5|4.2|5|1.8|4.2|4.2|3.4|5|5|4.2|5|4.2|5|5|3.4|5|3.4|5|4.2|5|5|4.2|5|4.2|5|1.8|5
"386"|"96871b943bb937f805981ea188c3395d"|2010|20|3.4|4.2|2.6|3.4|4.2|4.2|4.2|3.4|4.2|3.4|3.4|4.2|3.4|4.2|3.4|3.4|4.2|4.2|3.4|4.2|3.4|3.4|4.2|3.4|3.4|4.2|2.6|3.4|4.2|4.2|4.2|4.2|5|5|4.2|5|3.4|4.2|5|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|5|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2
"387"|"7ef3cf157f7b44517a69d6bba8467cbe"|2010|20|5|5|1.8|5|5|5|5|2.6|5|5|2.6|5|3.4|5|4.2|5|5|5|5|1.8|4.2|5|5|5|3.4|5|4.2|4.2|3.4|5|5|5|5|5|4.2|5|4.2|5|5|5|5|5|5|4.2|5|5|5|5|4.2|5|5|5|5|5|5|5|5|5|5|5
"388"|"df60685dad896eca48fad1f347ae5f68"|2010|20|5|5|1.8|5|4.2|4.2|4.2|2.6|4.2|4.2|3.4|2.6|4.2|5|4.2|4.2|4.2|4.2|4.2|3.4|4.2|5|5|4.2|1.8|5|3.4|3.4|4.2|4.2|2.6|4.2|4.2|2.6|3.4|4.2|2.6|4.2|4.2|3.4|2.6|3.4|3.4|4.2|4.2|2.6|4.2|3.4|3.4|4.2|4.2|3.4|4.2|4.2|2.6|3.4|3.4|4.2|2.6|2.6
"372"|"563ec111a5540a9a1b2363e705d1ecae"|2010|19|3.4|4.2|3.4|4.2|5|5|4.2|3.4|4.2|4.2|2.6|5|2.6|2.6|5|5|4.2|5|2.6|1.8|4.2|5|5|4.2|3.4|4.2|3.4|4.2|2.6|3.4|5|4.2|3.4|4.2|4.2|5|2.6|5|5|5|3.4|2.6|3.4|5|5|4.2|2.6|2.6|2.6|1.8|1.8|5|4.2|4.2|4.2|2.6|4.2|4.2|4.2|2.6
"373"|"912026c1b7cae54f227e3ed994832087"|2010|19|3.4|2.6|4.2|1.8|4.2|4.2|4.2|4.2|4.2|3.4|2.6|2.6|4.2|4.2|3.4|4.2|4.2|3.4|2.6|3.4|2.6|3.4|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|5|1.8|4.2|5|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|1.8|3.4|3.4|2.6|3.4|5|4.2|4.2|3.4|5|3.4|4.2|4.2
"374"|"912026c1b7cae54f227e3ed994832087"|2010|19|3.4|2.6|4.2|1.8|4.2|4.2|4.2|4.2|4.2|3.4|2.6|2.6|4.2|4.2|3.4|4.2|4.2|3.4|2.6|3.4|2.6|3.4|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|5|1.8|4.2|5|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|1.8|3.4|3.4|2.6|3.4|5|4.2|4.2|3.4|5|3.4|4.2|4.2
"375"|"d41d8cd98f00b204e9800998ecf8427e"|2010|19|3.4|2.6|4.2|1.8|4.2|4.2|4.2|4.2|4.2|3.4|2.6|2.6|4.2|4.2|3.4|4.2|4.2|3.4|2.6|3.4|2.6|3.4|4.2|4.2|1.8|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|4.2|5|1.8|4.2|5|4.2|3.4|3.4|3.4|4.2|4.2|4.2|4.2|1.8|3.4|3.4|2.6|3.4|5|4.2|4.2|3.4|5|3.4|4.2|4.2
"376"|"4cbe9ae56a22f1fb66e6d60c2c3f9c15"|2010|19|1.8|2.6|3.4|3.4|3.4|2.6|2.6|3.4|2.6|2.6|2.6|3.4|2.6|2.6|3.4|2.6|2.6|3.4|2.6|2.6|2.6|2.6|3.4|4.2|2.6|2.6|1.8|4.2|1.8|3.4|3.4|3.4|4.2|3.4|3.4|3.4|2.6|3.4|3.4|3.4|4.2|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|3.4|2.6|3.4|3.4|4.2|3.4|3.4|3.4|4.2|2.6|3.4
